accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.980963545967215245e-01,1.116515916780331033e-02,-9.780925180176865297e+00
1.002603292003951818e+00,-1.908826979093737608e-02,-9.797938712482123336e+00
1.014206460610237004e+00,2.022457814836466430e-02,-9.775396455887545244e+00
9.926261689591519000e-01,1.445450461573964847e-02,-9.791723967805440410e+00
1.014880563233245159e+00,1.509507888800604505e-03,-9.783710375405194171e+00
1.003786636303122703e+00,9.198472469958078601e-03,-9.778875665398937045e+00
1.000451361071036827e+00,7.212117480979399198e-03,-9.803193200709769073e+00
9.876726942967670730e-01,1.144667492443196891e-02,-9.780457556040300204e+00
9.874704873643979086e-01,-3.413141931120319914e-03,-9.789089576343835475e+00
1.003114194211055521e+00,1.214838927348951478e-02,-9.797753205957457467e+00
1.001232520114379243e+00,-9.731638626208044540e-03,-9.794973962743204865e+00
1.009479687038115969e+00,7.782992275645350157e-03,-9.805504675859364028e+00
9.944328698912461295e-01,1.001869327888282521e-02,-9.782078994492335866e+00
9.945634686056575857e-01,1.121683595661036002e-02,-9.801979508730413571e+00
9.908848015923783503e-01,1.142460493858989817e-02,-9.796533886691991100e+00
9.987781013155860865e-01,1.586601294449633062e-02,-9.786084397404314572e+00
1.001234581992552997e+00,1.609396708760080924e-02,-9.791519411688078378e+00
9.905052810640495586e-01,2.660145818132880410e-02,-9.782184899064169770e+00
9.972107559370642083e-01,2.564920982264172825e-02,-9.786478662174785015e+00
1.005592356923222130e+00,1.381401802136398432e-02,-9.796403422937336458e+00
1.001012248228552837e+00,1.641841971692746191e-02,-9.796198770470807560e+00
1.000945952414871609e+00,2.977548422566619196e-02,-9.800375546808957949e+00
9.994746500636901843e-01,2.710974297281693035e-02,-9.796379164692671893e+00
9.933333384186903148e-01,3.628805503992030279e-02,-9.804140174338080271e+00
1.006197854527143942e+00,3.256176080761259001e-02,-9.785919988004783576e+00
1.007840133092946067e+00,4.636734438574901390e-02,-9.801020562952825088e+00
9.924338440806120820e-01,2.754716243632080938e-02,-9.791542227126180720e+00
9.989133627942561322e-01,3.868193311240783472e-02,-9.807506408209501814e+00
1.003577740859467049e+00,3.148109919366989112e-02,-9.785534086639449569e+00
1.012677693448651217e+00,3.855855652619201435e-02,-9.803106217673676070e+00
9.960529865774179203e-01,5.700607033203791696e-02,-9.798061473044064940e+00
9.973507036669562176e-01,4.917483699787901508e-02,-9.803070466555418250e+00
9.955280878611770801e-01,5.953865452291822596e-02,-9.794270508141011078e+00
9.976771793881351602e-01,7.169149958758505581e-02,-9.783745235220530745e+00
9.933288169611479423e-01,6.174791956921889952e-02,-9.796438889677316908e+00
9.975147068301477571e-01,6.697036867912285751e-02,-9.790846934651423084e+00
1.007364358441805052e+00,6.358519196044178090e-02,-9.793666624661844011e+00
