gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199997201071002095e+01,1.199999966388610773e+02,7.616286813974285863e+00,1.202500398252279168e-02,-4.567511344246633770e-02,6.200212362698933471e-03
3.200000293177691191e+01,1.200000794675849960e+02,3.419465857597801528e-01,4.018534895148846015e-02,-6.717966122409380070e-02,5.345951799317689990e-02
3.199995183005957955e+01,1.200001075835917703e+02,-4.475966276649034903e+00,2.149010748635882539e-01,-4.709651493546811868e-02,-3.469268785747091355e-02
3.200002564082804923e+01,1.199999470358361151e+02,-5.744655705354546171e+00,3.059753851212729803e-01,4.863909382220773375e-02,6.612860945180693006e-02
3.200004113108050774e+01,1.200000870337723029e+02,4.534575521550348931e+00,3.077813949059831078e-01,3.134559468139272442e-02,-3.592025842888625642e-02
3.199995006268366993e+01,1.200000240718009366e+02,1.768112990593996869e+01,5.411110027914713960e-01,7.740489366162470186e-02,2.834016944391193338e-02
3.199995553800581760e+01,1.200000486308594390e+02,-6.620529095001786324e+00,5.583553911141280190e-01,1.294559280842540183e-01,1.088797647541101497e-02
3.200001629486723687e+01,1.200000375677464177e+02,-1.894479502913246183e+00,6.712368447910311842e-01,1.637895842319243844e-01,4.861230900962458523e-02
3.200004653710772828e+01,1.200000134417479387e+02,-1.023069134495079524e+01,7.308665878060098819e-01,5.678992862118220630e-02,-1.435865733269930250e-02
3.199999931912799767e+01,1.200000158952298790e+02,4.611610100716116989e+00,9.433092280669342911e-01,8.049772566057938894e-02,-5.615104383578054664e-02
3.199995085263181949e+01,1.199999870517533083e+02,4.223661022921648467e+00,1.035898997667233701e+00,2.320502533947870760e-01,4.406612307703541842e-02
3.200006516698621795e+01,1.200000320011827171e+02,5.496006468683629187e+00,1.039117337415863318e+00,3.077076706946084705e-01,1.218461058653778559e-02
3.200003264480604770e+01,1.200000763998144322e+02,1.132903814328435033e+01,1.157176507760181661e+00,5.315442769567597647e-01,1.269473003674338046e-02
3.200002711324922444e+01,1.200000486647063696e+02,7.472918319838432133e+00,1.200842842920660791e+00,5.589258277049797830e-01,-7.267356177405877304e-02
3.199999095546054662e+01,1.200001206719393849e+02,1.960461184976509008e+00,1.263624633572397071e+00,6.592625460256951175e-01,-1.040839100871422673e-02
3.200006470200807485e+01,1.200000094849113310e+02,1.170783301227648998e+01,1.197975893734555486e+00,8.571100491583782954e-01,-1.028872139703127103e-01
3.200001278984169772e+01,1.200000470903279819e+02,-3.546273212350254944e-01,1.289661351745652107e+00,8.503556649141097434e-01,8.510740834510305275e-02
3.200005103964110731e+01,1.200000076758721121e+02,3.073079256324642294e+00,1.311454230360786344e+00,1.067659950160749993e+00,-6.202561452746238602e-02
3.200000941392624298e+01,1.200001046400025615e+02,6.678146431545576300e-01,1.438696903759097090e+00,1.232943012905948654e+00,-5.825789771733710931e-02
3.199994850240063116e+01,1.200000571004878509e+02,-7.479795333366498156e+00,1.360916868562704884e+00,1.079195181727264696e+00,1.352185217537790578e-02
3.199998126071017168e+01,1.199999319380210920e+02,1.304304670405320365e+01,1.421812668559188086e+00,1.412749553056055429e+00,1.165334883322641409e-02
3.199998799879974598e+01,1.199999548541912304e+02,1.019560759813118622e+01,1.484311564172626108e+00,1.491585236267032544e+00,3.445491813954937310e-02
3.200007883581601220e+01,1.200000847533456181e+02,5.675283886735087435e-01,1.469407002000852058e+00,1.609481611710565474e+00,-4.596098206193866692e-02
3.200004141662196133e+01,1.200000337159675894e+02,-3.445414598258099037e+00,1.406338766684555042e+00,1.849641123905805484e+00,-9.986971892171667142e-02
