gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.211666976912990218e-01,3.267707826516055847e-02,8.895732496075474394e-02
1.045534458252712351e-01,-1.805783666742525606e-01,6.960948006909959407e-01
1.970689510825491542e-01,4.979954911313089205e-02,5.601306190983063038e-01
7.916224491152140663e-02,1.507297971140719450e-01,1.392696884523951795e+00
-7.191114498093839624e-02,3.781701366880652754e-02,1.375805146276505297e+00
-9.061819064445940375e-02,2.163548387842610665e-02,1.670384916208747628e+00
-1.920168957001372745e-01,1.050384002009175227e-01,1.957063629913453617e+00
-7.832838127853651577e-02,1.290294465121581691e-01,2.357252110391994560e+00
2.237444760546791755e-01,-9.068809662465301957e-02,2.687050038686080722e+00
1.579219432286732838e-01,1.381726970741521503e-02,2.917682779702057694e+00
8.967751781112712206e-02,-6.695497215869665800e-03,3.046544784002537920e+00
1.640321119615316958e-01,1.370949284645763162e-02,3.653724334728507994e+00
-1.097784062365286528e-01,-1.102937912349155614e-01,3.713879552904250314e+00
2.246902412848259256e-01,-9.090882115208971659e-02,4.051456346564332733e+00
-1.597697452435862253e-01,-4.349694391219471878e-02,4.179061319559166598e+00
-1.164339638823495976e-01,-5.851992327541746808e-02,4.691876179900704713e+00
-1.222208796685143040e-01,-3.292837651428378032e-01,5.033868268134718882e+00
2.243775298625204084e-01,-1.246284455035834154e-01,5.221914607936747998e+00
5.751465372935584547e-02,8.187225096428150939e-02,5.557498385987931222e+00
-1.140350580322511270e-02,9.002563657423320875e-02,5.641221956865861920e+00
8.025295774765626999e-02,7.719127186997015722e-02,6.196979051105447667e+00
-1.362429909327809302e-02,-6.607086602172140832e-02,6.189347137693826717e+00
1.555965866313634149e-01,-1.801382450267931812e-01,6.371240852555265732e+00
9.982712897160778143e-02,2.030524890463439314e-02,6.754168643347725265e+00
-1.389314279755787460e-02,-1.880636537866909874e-01,7.102108410911585068e+00
-7.476191174821895935e-02,-6.478663977122514628e-02,7.169093266235701201e+00
3.883999025877516581e-02,4.239141667490808202e-02,7.673246959424735891e+00
3.686910992050319164e-02,1.839426443037475711e-01,8.126855966332239944e+00
-7.100387059908981613e-02,1.500969227017735497e-01,8.332610010848858551e+00
-2.576448073537513372e-01,1.658534625422404540e-01,8.404877491742102080e+00
-6.275993096328114085e-02,3.441282405800687172e-02,8.884012111694227443e+00
-1.320014514524291971e-01,6.352766204039876630e-02,9.243319556888071276e+00
4.895663084377331609e-02,2.333682928070082013e-02,9.586410071536286992e+00
1.054738055347768239e-01,-2.225975392075693893e-01,9.727907765945326801e+00
-6.943872773084898420e-02,6.883529383210709729e-02,1.008391459449176786e+01
-8.476672372803671640e-02,-1.825915951243061164e-01,1.021358412905558666e+01
1.214484397562306528e-01,1.094048468172434049e-02,1.062770983542005965e+01
4.935953041039733979e-02,8.062354666951034032e-02,1.102896277122513702e+01
5.064648618816623704e-02,1.935594109972289811e-01,1.118131040493940453e+01
-1.843811460652839129e-01,1.415576104213053243e-01,1.165727346881833704e+01
-1.996084015675324286e-03,8.463051918253969297e-02,1.175911032079189056e+01
5.783125118565352052e-02,9.911308635764305708e-02,1.185489861576261816e+01
-1.064692454990316534e-01,-9.642724094564977810e-02,1.226482292869652291e+01
9.978633300924823202e-02,6.815979967010414586e-02,1.262909755625851638e+01
-1.755358764260855353e-01,3.936283259896466991e-02,1.282487740741296278e+01
3.678084637304770976e-02,7.125534757756747661e-02,1.344655478964991957e+01
1.631571330774827799e-01,4.556750167306524574e-02,1.332444237982680058e+01
-2.583326169585974108e-02,-6.588601723462492177e-02,1.359084313274348688e+01
2.421840666425221361e-02,1.955328360361789641e-01,1.383969931228060091e+01
-1.078364049954523979e-01,1.791128828503772349e-02,1.412620130080026826e+01
-5.536272600980237518e-02,-3.834568618555487390e-02,1.472112661454537275e+01
1.078576086168367698e-01,4.957210712479485915e-02,1.525109471520840110e+01
7.331618232316414185e-02,-1.482138543303765932e-01,1.498582006067365491e+01
1.190641860079521136e-01,-1.041589641654626780e-01,1.570008287210562870e+01
1.735379986630431436e-03,-1.276391234966439692e-01,1.586883135629843089e+01
-3.266643447441383574e-01,7.552125593872106857e-02,1.609802798277907243e+01
7.731731365667214584e-02,1.375017068639064477e-01,1.637135172798662808e+01
6.563575687653556978e-02,-1.652690902634800507e-01,1.658661543636305069e+01
-8.456362256425760393e-02,-1.808144128856373489e-01,1.720727296318153421e+01
2.615429048013163602e-02,1.044323539682035368e-01,1.709216850164813195e+01
-2.280399523368302830e-02,2.397696222447736891e-01,1.757145567061800051e+01
8.916336146108322369e-02,-7.129610252718406038e-02,1.774633939664389359e+01
1.474002809195837094e-01,4.305973571789376703e-02,1.798569530042075826e+01
3.745013836738133456e-02,-3.785495812752979333e-02,1.834168491427844572e+01
-2.658456439127996132e-02,1.954090759936662550e-02,1.863231986568827736e+01
9.417055141546779029e-02,-1.366555175552392754e-01,1.910645821719830195e+01
5.024409135076106370e-02,-1.716729709787088443e-01,1.919243370722903208e+01
-9.508931507636574076e-02,-3.271620451573289956e-02,1.922354389086919824e+01
-6.628610631319148058e-03,-9.632957175292979068e-02,1.965315913945217829e+01
-1.785336434382831794e-01,6.870811501119868103e-02,2.009697564393356117e+01
-1.426618660115588633e-01,-6.741829770537841049e-02,2.024638298513544399e+01
1.671877181461672163e-02,-2.216661708743721260e-01,2.053470327847473698e+01
-2.945069681681926066e-01,2.799531045313898361e-02,2.084181873532980589e+01
-1.135952058455491215e-01,-2.256699555436703641e-01,2.110951366903989168e+01
-1.262647893532044818e-01,-2.012236849095980218e-02,2.163270830570334269e+01
7.379907313722020024e-02,-1.467612012708778731e-02,2.167606763781391876e+01
-1.306378083262609846e-01,-1.544242438369207715e-01,2.187517530255620102e+01
-1.610503104793287454e-01,-1.916854152771635400e-02,2.238441510671273349e+01
-1.870301758826813099e-02,-1.205139399939438166e-01,2.270432716648503302e+01
-1.422422547780643337e-02,3.027086317845024965e-02,2.293269389748405729e+01
5.352279779741758725e-03,2.364489205467172339e-01,2.344822850488692367e+01
-5.633071945520379958e-02,2.739615969585942890e-02,2.339146048944508749e+01
6.030063575731432063e-02,-6.754171249730568649e-02,2.359259815897623014e+01
-4.284617874249154607e-02,-4.632780239733386152e-02,2.401125493338025763e+01
-8.569118715829923683e-02,-7.575095357466438140e-02,2.463382058174993716e+01
-2.531774650558534217e-03,-4.056433707062369332e-02,2.462861826109879715e+01
2.532124945687643236e-01,5.604631536688015059e-02,2.481691076214976732e+01
1.209728291478967682e-01,6.267015613986048894e-02,2.532504355015491626e+01
1.028534089491442947e-02,1.555449391865659781e-01,2.550760818854369560e+01
-1.680499668375548261e-01,-7.660412017895680548e-02,2.572852066460231413e+01
9.359645469481252256e-02,-1.010635175466039620e-01,2.616647180038467368e+01
3.196132971027017267e-02,3.112587205276503427e-02,2.650437780513633612e+01
-9.808781311423918348e-02,8.991068401154150846e-02,2.643950842078212915e+01
-4.412250891390095964e-02,7.337277316890510048e-02,2.692270822435599698e+01
9.601629271475556338e-02,4.079440725392676631e-02,2.707676736126808592e+01
2.265848320095345536e-02,1.257374510221884178e-01,2.768147780234971478e+01
4.902009908521356291e-02,2.062470095256907221e-01,2.781160490784208150e+01
-3.977106776278561961e-02,1.839161565086812056e-01,2.802476871638028655e+01
-1.810912139055178283e-01,1.715318938563543255e-02,2.817196335751066272e+01
-1.659942900083669071e-01,3.980262184709418283e-02,2.873378946304460513e+01
1.304513613293530744e-02,7.548747763125704391e-02,2.886978052363309288e+01
-1.776260640393410029e-01,6.998445459790490764e-02,2.919835136689543731e+01
1.093057907928425034e-02,-4.381623815270323241e-02,2.970826212067047578e+01
1.187208418115326541e-01,-5.909626591645524007e-02,2.965620308986546405e+01
5.450476494756770901e-02,-3.129351606030158356e-02,3.003213720272220399e+01
1.021621922307741279e-02,9.187176512406583506e-02,3.030634570582424558e+01
1.965901427174078231e-01,-3.372318474460971743e-02,3.064906689070119583e+01
7.552040269101462089e-02,6.450385612793829715e-02,3.104717055109714252e+01
-2.733408337742660454e-01,3.524269364146958433e-02,3.111724154959288668e+01
-2.787105281549090777e-02,2.450837308908104528e-01,3.152448304595924000e+01
1.172594365841016228e-01,3.583555904326125169e-02,3.205729828639989165e+01
-6.679060652579642265e-02,3.328876043128748963e-01,3.203747379948773499e+01
1.460792583417749868e-01,-9.693512891899609685e-02,3.254967059387257677e+01
-7.975294583756138700e-02,9.771277120891190549e-02,3.260560647641358401e+01
1.530145272496329645e-01,-1.937277006444287075e-01,3.291682192052057587e+01
-2.323798427212807050e-01,1.237005645720408581e-01,3.310259911401512056e+01
-7.013469298874153157e-02,-2.442189552703389818e-02,3.361459252540183940e+01
-1.929326775675777039e-02,-6.750080695062737890e-02,3.362162284877344121e+01
-1.442010998765049790e-01,2.460712118310544039e-01,3.380214243450073752e+01
-2.543893233734602077e-01,-6.026986411168299557e-02,3.362572738609118517e+01
1.801303054012530769e-01,-1.959053171092894896e-02,3.383960255267855644e+01
-2.731850335235547905e-02,3.188327572971512425e-02,3.396872988439216101e+01
1.578858709103641731e-03,1.337014450329957194e-01,3.401576221799052036e+01
1.575508041143313387e-01,-2.206064763212528257e-01,3.413153423335397463e+01
5.499414863654378954e-02,2.521747330062122996e-02,3.400457763610580741e+01
-8.704462794001225495e-03,2.083754391904782399e-01,3.396137185350508503e+01
-2.030903950239029143e-01,-1.277119219781295278e-01,3.387790740064059491e+01
1.037397797992016535e-01,-3.264049825361421964e-01,3.375060934561771830e+01
2.458638840563431294e-01,-7.393448172663696916e-02,3.361069171564486879e+01
7.075519304024296963e-02,-1.297969052749893548e-01,3.382277442058561689e+01
-1.191038367001843595e-01,5.959463609903712517e-02,3.368920428778614706e+01
-9.187249764355946702e-02,-2.967380795918408420e-01,3.355154678617605413e+01
9.558981831525532880e-02,5.852163004603849056e-02,3.342412677236814034e+01
3.678253184738860398e-02,1.533902029899944786e-01,3.352538115092821158e+01
9.425105546095997877e-02,9.055457894938581664e-02,3.336251277737332543e+01
1.271340119960079895e-01,-1.513319453262387121e-02,3.337573551077117173e+01
-1.373933117510814650e-01,2.654204681869066218e-01,3.283098163692068994e+01
1.067345701097132879e-02,-4.754182734674088084e-03,3.301377930169871178e+01
-2.658385274477316138e-02,6.881525180704584077e-02,3.260775449482875388e+01
3.282836786523486983e-01,7.449962289007212336e-03,3.269816340346196171e+01
-2.581744105723278102e-02,-2.014781091834468019e-02,3.257528165798927233e+01
2.568165380885007593e-02,1.190356922753448149e-01,3.246842037709346585e+01
-1.744052915450756414e-01,1.124204928014062577e-01,3.197558986105795853e+01
-1.338530914813033657e-01,1.205471813822607957e-01,3.194607072691106353e+01
-8.194744520548492839e-02,-4.556392502019581542e-02,3.190395624527116070e+01
-6.466001659499075183e-02,1.700879971191778250e-01,3.180813704590506674e+01
1.435945007988029265e-01,-1.955465748040590424e-01,3.190568545949960111e+01
-1.160971444518201362e-01,-7.104059973350168589e-02,3.141539425773462568e+01
-5.091509784828182617e-02,5.826302641380737973e-02,3.138570902290550890e+01
6.921218778808166383e-02,-7.335699144046735343e-02,3.116649803700078181e+01
4.922752939740340956e-03,9.397680817197818365e-03,3.107293439208850216e+01
8.967578377654791821e-02,-1.776435888343843444e-02,3.086297368548297371e+01
6.025688653494938596e-02,2.043251919991866394e-01,3.076915074616224288e+01
1.334039371171935433e-02,1.057896681013329732e-01,3.065877084357074267e+01
-4.999737558677303656e-02,-6.472504214947825962e-02,3.043529594894797086e+01
-6.992448432290108984e-02,-3.954294600991924147e-02,3.031042603952117531e+01
-1.152870948775751303e-01,-1.083766931178546666e-01,3.025503704146189676e+01
-4.983452184798444103e-03,-3.252959609498633914e-02,3.010651532951805009e+01
9.096278295006844650e-02,9.283588602511427812e-02,2.969184678507739861e+01
2.241746868766711365e-01,6.530587716476975169e-02,2.947783025848839245e+01
-6.381176807932940898e-02,-2.096334392547929137e-01,2.950599096767742680e+01
8.302733100406048394e-02,-5.212627414389198882e-02,2.931323976985872903e+01
-1.088563513204051092e-01,-7.501981134803982487e-02,2.915451114828263002e+01
1.482391166018539874e-01,2.056406503696988838e-03,2.895689591625307102e+01
6.220987546249317351e-02,-1.526470350734238091e-01,2.893344585903842869e+01
3.199893382753334764e-02,-6.024233173859927515e-02,2.891188636125863098e+01
1.505507084809923068e-01,-8.332515584369987183e-02,2.862539706013653529e+01
-2.421788298944330120e-01,-1.278059294170891813e-01,2.845588762035860597e+01
-9.177993879210313843e-02,-5.075732372144584753e-02,2.826835330594114026e+01
-1.307627328727253013e-01,2.722468990899619690e-01,2.821345524640171121e+01
-1.203809855202492285e-01,-6.019327404023332162e-02,2.803255264777057931e+01
4.358704555830158339e-02,1.832727635364012758e-02,2.757957287342233244e+01
7.623087539360363929e-02,-2.265925446736347937e-01,2.767637861341941630e+01
1.416829104711669896e-01,-2.070569031739275326e-02,2.769021148937127208e+01
-1.361649778037105595e-02,-3.280733925415155183e-02,2.744708456331575164e+01
-1.486981578321281972e-01,1.531568448708375829e-01,2.741760093694913891e+01
-1.908312436403057921e-01,1.058580477992635965e-01,2.706482783951073046e+01
1.614540600892456212e-01,4.936887650650580162e-02,2.700565526150581874e+01
2.037394339428923729e-01,9.335242248311359514e-02,2.681119131576691927e+01
-1.013738485869500050e-01,8.346549348103679544e-02,2.681328931937020243e+01
5.523847211923278711e-02,-7.384302302803920359e-02,2.660444008715993647e+01
1.317140973167555892e-02,-1.034729674219523332e-01,2.636687150081771591e+01
-1.554886588596041119e-01,-9.534125998766523891e-02,2.627401009055903813e+01
-9.125762591840011484e-02,-1.887671218672003770e-01,2.635398032805436586e+01
-2.677466146101200595e-01,-1.801123999915686391e-01,2.577386270801820700e+01
8.655390764631218370e-02,-3.929758978659936286e-02,2.604954907741469938e+01
1.195470435703719359e-01,-8.790825086178054304e-02,2.578698945708639911e+01
2.183942574245266791e-02,1.063670728439809199e-01,2.545242793935706516e+01
9.458200531320012927e-02,-1.798263032274619033e-01,2.548456693102959747e+01
5.137781764681100677e-03,-2.099750458672466347e-01,2.521487609138042885e+01
1.248342827152964379e-01,1.882581472855594795e-01,2.519153401268716408e+01
2.474615267517330311e-02,-1.602838084648904593e-01,2.494163792738727992e+01
1.352464578737877787e-01,-2.639457199321403880e-01,2.496661730251855360e+01
3.194972083011299140e-03,-2.662877089894915769e-02,2.473297034302161990e+01
-7.910009032627018932e-02,1.473769225311802322e-01,2.457055247852850499e+01
6.481310945373663923e-02,-1.618610714214541724e-01,2.452519730998214698e+01
-2.056891904190848719e-01,-1.187240631964832094e-01,2.427503689804764164e+01
-1.558056334781207121e-02,2.384525291698583738e-01,2.412688284818054640e+01
-1.286556997305880190e-01,-9.836407421798294345e-03,2.432719022470633874e+01
-1.187303607027531960e-01,-1.126526753291448441e-01,2.408875888542736732e+01
-1.303827272245290658e-01,-2.869153766578078635e-01,2.384236379779748205e+01
-9.932521088551218846e-02,1.433373662824247441e-01,2.359009958502538140e+01
-1.238384899220345697e-01,-3.431190245057228611e-02,2.350990040694104266e+01
-1.492779756318731582e-02,-9.672807216696305277e-02,2.350773501457054593e+01
7.125557063201302943e-02,8.807768607435978447e-02,2.327881763905573465e+01
6.128672906315052460e-02,1.957665121418167287e-01,2.323070532495558638e+01
1.239719395659934359e-01,1.680679248465881750e-02,2.320214557071074779e+01
-2.253076003297680985e-01,1.404876362185600858e-01,2.329945515921570021e+01
1.325885441703676670e-01,1.956179805432624597e-01,2.300704390319189230e+01
-8.908686688420990041e-02,-1.089943951593151245e-01,2.279904268451655369e+01
5.518463739042864247e-02,-1.304235171073352406e-01,2.289775871054260392e+01
2.431285074249993003e-02,8.181269608301049157e-02,2.254211146010563738e+01
7.442132238052920346e-02,7.556274390543057939e-02,2.260602135927545930e+01
3.278370618191898261e-02,-8.881708910004602886e-02,2.252798940163280861e+01
1.058522303469055931e-01,-1.560101023127038189e-01,2.220194354692144856e+01
-2.552239688140247459e-02,-1.987386622727657925e-01,2.209749616017125362e+01
3.251176125147315493e-02,-3.073997224628738107e-03,2.203512675533120202e+01
1.835549080946909939e-01,1.539211838394161369e-01,2.191939521670165902e+01
2.929747545330642078e-01,9.052627147353860260e-02,2.179992707548245079e+01
1.282426003676523096e-01,3.801499572075554834e-02,2.175958246840625776e+01
8.010161144513662512e-02,-9.499902402864643380e-02,2.168724103172142392e+01
1.869059564695589037e-01,1.145736887832416034e-01,2.137608580102616784e+01
-1.034250853081628424e-01,-1.427894331616972878e-01,2.144122920221770556e+01
9.147882734183676590e-02,1.230903532905866377e-01,2.122411067632157256e+01
-6.306281348392070440e-02,1.093213309714299170e-01,2.135841259464567088e+01
-8.154398804132078564e-05,4.097163034480623411e-02,2.084693797223734890e+01
-1.248868094726794248e-01,-1.436776662550744987e-01,2.103618960366330626e+01
-5.989855350198285827e-02,-1.602173557558231711e-03,2.075798765601903284e+01
-7.641138036374740816e-02,-1.161380726254928192e-01,2.079226603124416073e+01
-9.817465813989283141e-02,6.442825989908773990e-03,2.059000992838898370e+01
-2.139183220307468158e-01,9.659957773975934303e-02,2.024375032989277301e+01
1.041197619568171029e-01,-1.362233162084446336e-01,2.050378307295493840e+01
5.769088835965476003e-02,1.156822099100949519e-01,2.020760409829867044e+01
-4.247435129820734817e-02,2.183468518303911254e-01,2.028674587788541928e+01
2.415738466975635435e-01,-6.296532663271554864e-02,2.004873718863551701e+01
-3.184507615428670141e-02,2.409866293732198517e-01,1.990918352124804258e+01
-1.987818029404159748e-01,6.235501233109058683e-02,1.979468819336672780e+01
2.378324511296193711e-01,-1.096997848151383681e-01,1.979046138900348950e+01
1.407399488768732061e-02,-2.031553538160928152e-02,1.952786700843516599e+01
-1.451115041573077247e-01,1.084577918995754398e-01,1.938357558319716389e+01
-1.451424974222712827e-01,3.156060757901717889e-02,1.940551904785026949e+01
-9.874906385881870863e-03,-1.222739874998290815e-01,1.929592972096954995e+01
2.010249915545246069e-01,-5.788169143868170802e-02,1.936939847212702759e+01
1.408521633637457686e-02,1.459787262595833024e-01,1.890980629493340714e+01
2.771237735802743393e-02,-2.501398873606741624e-01,1.890940865399901938e+01
-9.768568515362268528e-03,-1.938697671171030548e-02,1.887946269868769278e+01
5.600516772595406922e-02,1.390764062913839583e-01,1.886935744233899825e+01
-1.034394403633680411e-02,1.732753475766427020e-01,1.871979191772587825e+01
-9.486657487852766246e-02,-9.695389528726081063e-02,1.874692065340535052e+01
2.180962544200763242e-01,-9.165453266991631376e-02,1.856810493017881214e+01
1.228878632849845220e-01,-2.355231036010189682e-01,1.843160046985711276e+01
-4.871463660969937992e-02,-1.753947732314072860e-01,1.825555990192848910e+01
-4.847730983069228894e-02,2.242980012394523576e-02,1.810366421782843460e+01
1.774580380076273556e-01,6.586042361084253061e-02,1.814925687124349452e+01
2.214231786167931704e-01,4.351811776649474467e-02,1.804103615203469602e+01
-9.791354950901281703e-03,-1.616403290786611879e-01,1.787863172390592581e+01
-1.523026171077939694e-01,2.000889544193482084e-02,1.773836773353458440e+01
1.534409085874868239e-01,1.669960382365696591e-02,1.779906657428713856e+01
-5.477622433033137173e-02,-1.610748790652194104e-02,1.758215855085194335e+01
-1.806465867254090640e-01,1.515064548851414450e-01,1.769012608504130668e+01
-8.218159427069600658e-04,-1.644588331773875478e-01,1.749914081363710849e+01
-3.070439278815775136e-02,-7.657492846187185544e-03,1.756466078122430119e+01
2.215488828846090830e-01,-6.107130350160278748e-02,1.705515020596577003e+01
9.429975940377260946e-02,2.919034517991783151e-01,1.712503953749819985e+01
-8.893902763055497318e-02,-2.508058239995915317e-02,1.703181899905823471e+01
1.002614177980127586e-01,-1.341377256649111116e-01,1.709032437739767474e+01
1.013553447927280360e-02,-2.094110870752088904e-01,1.656327874754313711e+01
2.061835232575401911e-01,5.283883668784702253e-02,1.676548525204849227e+01
-1.669760293469083404e-02,-7.562675480491422297e-02,1.675298471980286408e+01
4.341061183813720026e-02,1.123198310986084220e-01,1.657673830508502633e+01
-1.046660413757302260e-01,3.881941705619371130e-02,1.660841818083903476e+01
1.087318090972648477e-01,1.584470432141784069e-01,1.656335055748024843e+01
3.218859823897100014e-01,-9.746928898174242462e-02,1.636907228038571205e+01
5.964233145082792342e-02,8.240286273498957648e-02,1.630356939365395519e+01
-4.228253291740261682e-02,3.595442233716668323e-02,1.620028599188233187e+01
-1.045147782307795370e-01,1.071196400660254788e-01,1.614825900869552910e+01
-5.110604024620010732e-02,7.484485573383836687e-02,1.605264194848719228e+01
