mag_x (uT),mag_y (uT),mag_z (uT)
3.239631549858101067e+01,-3.665692049602103708e+00,3.763525061136733996e+01
3.251431964236861205e+01,-3.574140853399652151e+00,3.755344064273033666e+01
3.250397106489114663e+01,-3.598230033297560748e+00,3.748078290977107230e+01
3.232024724180812569e+01,-3.524048134726811110e+00,3.776847930650357910e+01
3.245142083508146413e+01,-3.560878772061626396e+00,3.773050849152970443e+01
3.246061175028040680e+01,-3.675235739270339863e+00,3.774320839509572068e+01
3.234760427614678235e+01,-3.715997383319401770e+00,3.778918928522042364e+01
3.241880637909581964e+01,-3.626538689253069769e+00,3.766254318355618125e+01
3.248056785526618739e+01,-3.590029109055743906e+00,3.772594607097557429e+01
3.254818321944754445e+01,-3.697823628406919472e+00,3.770981097832751772e+01
3.253269718168695590e+01,-3.660439470687229413e+00,3.761324986969602691e+01
3.240107170186715280e+01,-3.781732811457365617e+00,3.769344789810044460e+01
3.261082099018474878e+01,-3.637515807093782527e+00,3.779109415300302288e+01
3.259569891430771804e+01,-3.697824432032027264e+00,3.778330052960683361e+01
3.261443554070989848e+01,-3.889907110367705645e+00,3.757387425258665559e+01
3.241545679568557858e+01,-3.730349750139517973e+00,3.768424023940500689e+01
3.251998040893963804e+01,-3.820923596063720229e+00,3.772798694469599212e+01
3.256256556939239033e+01,-3.855216290739867269e+00,3.770882504547105896e+01
3.264388829841393402e+01,-4.001718377518710845e+00,3.744838012237395475e+01
3.231056678337235866e+01,-3.921552980449971137e+00,3.766016330236482190e+01
3.236586512951906514e+01,-3.864460656936850036e+00,3.772253910267674826e+01
3.255958818480419126e+01,-3.936451551974123664e+00,3.769611027733680686e+01
3.250799539753398903e+01,-4.139017492924515373e+00,3.780955744179026112e+01
3.245110785142642840e+01,-3.963752790755673772e+00,3.773777669610870333e+01
3.262214073116836488e+01,-3.981874444103224331e+00,3.759445824719830398e+01
3.238957579462946512e+01,-4.221157308808067832e+00,3.758673409213892569e+01
3.232075030539613891e+01,-4.007992320949027132e+00,3.770823786752866624e+01
3.234770921842187619e+01,-4.036661083541447148e+00,3.777452050070740341e+01
3.251824465408513021e+01,-4.182896549152360421e+00,3.769647179170772233e+01
3.243125317769369076e+01,-4.135530420507577354e+00,3.770964503297314963e+01
3.232796513658475135e+01,-4.194466938598497840e+00,3.760574163218981170e+01
3.245110007977878297e+01,-4.437722018187440831e+00,3.769458733537035755e+01
3.247073060962252811e+01,-4.462191582628062925e+00,3.771892531954307515e+01
3.234471284823145965e+01,-4.405128622349937295e+00,3.771797537317301163e+01
3.234246808891198555e+01,-4.436940772532198096e+00,3.762902234108879895e+01
3.231982318245832886e+01,-4.720668992073953518e+00,3.767908300596745619e+01
3.257824278608229918e+01,-4.616430441056905920e+00,3.752882199616166758e+01
3.255666575979270760e+01,-4.785345497938270576e+00,3.766979761077474365e+01
3.224252685360121973e+01,-4.663173755972247925e+00,3.761436498533969797e+01
3.238326864697381069e+01,-4.781114565699304819e+00,3.760762418166533649e+01
3.219002005600516725e+01,-4.866285978024522230e+00,3.765814677788424092e+01
3.211631440509654567e+01,-5.076106546171284428e+00,3.760830996373669421e+01
3.237208192877831436e+01,-4.989302274050350761e+00,3.779799271498828972e+01
3.219702769285323285e+01,-5.098048455687419711e+00,3.764856229685740630e+01
3.233311526441384132e+01,-5.123962071238283400e+00,3.758521994317916892e+01
3.232289876067688539e+01,-5.261234180529737792e+00,3.755965310410786628e+01
3.237210797103422522e+01,-5.478615224983785836e+00,3.752768115704094498e+01
3.220398481438837024e+01,-5.463115629665979078e+00,3.768335906399420310e+01
3.230618642651779027e+01,-5.528400423951244314e+00,3.759749646620137042e+01
3.228362841123788485e+01,-5.592981043590725676e+00,3.763699821947485447e+01
3.223931495441748751e+01,-5.642817963169675544e+00,3.758888063613305519e+01
3.219979598003061483e+01,-5.650934644755177594e+00,3.765697671661498447e+01
3.227437522923388258e+01,-5.896047077651460633e+00,3.769720069175135535e+01
3.217159728795061824e+01,-6.081660419842424226e+00,3.762531276866054952e+01
3.206236362260327155e+01,-5.921568651356519553e+00,3.777990849591070344e+01
3.214877985447449760e+01,-6.122352924396777141e+00,3.756052305272808667e+01
3.194970463014493589e+01,-6.089074644259474312e+00,3.773662286582839442e+01
3.220277448450852376e+01,-6.250098944882449103e+00,3.776468004101457865e+01
3.213931534907490573e+01,-6.420404272226186926e+00,3.774418366605926423e+01
3.202220011545568212e+01,-6.477365203606172628e+00,3.758795869599622108e+01
3.223442210620920889e+01,-6.343869385629377078e+00,3.775378435745528805e+01
3.211257886440907328e+01,-6.675864754877194329e+00,3.743497322861903598e+01
3.192258628590447245e+01,-6.808661952749084811e+00,3.752615766724085944e+01
3.194130551065564561e+01,-6.709164998393155166e+00,3.772990378267827083e+01
3.196999082620481403e+01,-6.908225926593121180e+00,3.769340455092952880e+01
3.195424130375644367e+01,-6.939261128621577512e+00,3.773946862326548057e+01
3.199012093464770956e+01,-6.905374303142002290e+00,3.766166207192538451e+01
3.195561031580417577e+01,-7.276517577793624625e+00,3.752289366288298567e+01
3.208161758556411769e+01,-7.315674642629634405e+00,3.746638622691532561e+01
3.197195664858649522e+01,-7.561040678866481457e+00,3.774984134083755549e+01
3.184365223036134296e+01,-7.567613032384695515e+00,3.758321461547721043e+01
3.178211916759871158e+01,-7.717329363567876577e+00,3.771443442974454996e+01
3.162255490286884907e+01,-7.885467349229923428e+00,3.763962607931866700e+01
3.174996436882657491e+01,-7.969347504589697984e+00,3.779256417854570316e+01
3.171078623130878071e+01,-8.106394653033724751e+00,3.783499760216947294e+01
3.174568500685773387e+01,-8.164997095886992184e+00,3.758207972097548577e+01
3.153681945439755552e+01,-8.263333145493961140e+00,3.756557545402104381e+01
3.144743965906668848e+01,-8.279091230898885101e+00,3.777669239698817449e+01
3.159188240745904963e+01,-8.455602328301401016e+00,3.768329128522793781e+01
3.163723734877330074e+01,-8.694477090745099446e+00,3.767672089392772961e+01
3.142166846264418822e+01,-8.760982281061215460e+00,3.768363805640491648e+01
3.133200101252528569e+01,-8.814488363302178442e+00,3.755621766821555241e+01
3.152462272292805068e+01,-8.981025490063252903e+00,3.789971628651512248e+01
3.145026714448763272e+01,-9.281495774342214844e+00,3.774618783175780123e+01
3.124655857045470597e+01,-9.373072880220103542e+00,3.747982189795244778e+01
3.134326534797495611e+01,-9.509164107741803207e+00,3.765037302794593899e+01
