ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000000000000000e+00,0.000000000000000000e+00,-9.794841972265039942e+00
1.000000000000000000e+00,9.922715355640981971e-05,-9.794841972187459334e+00
1.000000000000000000e+00,2.984543071078868360e-04,-9.794841971831766969e+00
1.000000000000000000e+00,5.976814606440953226e-04,-9.794841971012447246e+00
1.000000000000000000e+00,9.969086141488269718e-04,-9.794841969543972127e+00
1.000000000000000000e+00,1.496135767600000922e-03,-9.794841967240820679e+00
1.000000000000000000e+00,2.095362920969663732e-03,-9.794841963917475525e+00
1.000000000000000000e+00,2.794590074223987641e-03,-9.794841959388406849e+00
1.000000000000000000e+00,3.593817227323274372e-03,-9.794841953468104379e+00
1.000000000000000000e+00,4.493044380221953606e-03,-9.794841945971041852e+00
1.000000000000000000e+00,5.492271532868578214e-03,-9.794841936711707220e+00
1.000000000000000000e+00,6.591498685205835970e-03,-9.794841925504581326e+00
1.000000000000000000e+00,7.790725837170532631e-03,-9.794841912164150344e+00
1.000000000000000000e+00,9.089952988693616662e-03,-9.794841896504912881e+00
1.000000000000000000e+00,1.048918013970014627e-02,-9.794841878341358665e+00
1.000000000000000000e+00,1.198840729010932499e-02,-9.794841857487993408e+00
1.000000000000000000e+00,1.358763443983447561e-02,-9.794841833759333483e+00
1.000000000000000000e+00,1.528686158878305237e-02,-9.794841806969895259e+00
1.000000000000000000e+00,1.708608873685663748e-02,-9.794841776934218203e+00
1.000000000000000000e+00,1.898531588395096018e-02,-9.794841743466845330e+00
1.000000000000000000e+00,2.098454302995585163e-02,-9.794841706382342750e+00
1.000000000000000000e+00,2.308377017475531437e-02,-9.794841665495299665e+00
1.000000000000000000e+00,2.528299731822744589e-02,-9.794841620620315936e+00
1.000000000000000000e+00,2.758222446024451505e-02,-9.794841571572035832e+00
1.000000000000000000e+00,2.998145160067289955e-02,-9.794841518165121386e+00
1.000000000000000000e+00,3.248067873937313110e-02,-9.794841460214268380e+00
1.000000000000000000e+00,3.507990587619991274e-02,-9.794841397534224114e+00
1.000000000000000000e+00,3.777913301100203208e-02,-9.794841329939766084e+00
1.000000000000000000e+00,4.057836014362247584e-02,-9.794841257245733956e+00
1.000000000000000000e+00,4.347758727389834654e-02,-9.794841179267017139e+00
1.000000000000000000e+00,4.647681440166091804e-02,-9.794841095818563659e+00
1.000000000000000000e+00,4.957604152673563552e-02,-9.794841006715401477e+00
1.000000000000000000e+00,5.277526864894208081e-02,-9.794840911772620728e+00
1.000000000000000000e+00,5.607449576809405561e-02,-9.794840810805412801e+00
1.000000000000000000e+00,5.947372288399945667e-02,-9.794840703629043688e+00
1.000000000000000000e+00,6.297294999646042835e-02,-9.794840590058891294e+00
1.000000000000000000e+00,6.657217710527325860e-02,-9.794840469910443659e+00
1.000000000000000000e+00,7.027140421022848304e-02,-9.794840342999302507e+00
1.000000000000000000e+00,7.407063131111078780e-02,-9.794840209141204568e+00
1.000000000000000000e+00,7.796985840769907194e-02,-9.794840068152035784e+00
1.000000000000000000e+00,8.196908549976650304e-02,-9.794839919847822429e+00
1.000000000000000000e+00,8.606831258708043386e-02,-9.794839764044763086e+00
1.000000000000000000e+00,9.026753966940244400e-02,-9.794839600559235748e+00
1.000000000000000000e+00,9.456676674648845093e-02,-9.794839429207806702e+00
1.000000000000000000e+00,9.896599381808854345e-02,-9.794839249807253623e+00
1.000000000000000000e+00,1.034652208839471066e-01,-9.794839062174576227e+00
1.000000000000000000e+00,1.080644479438029187e-01,-9.794838866127006938e+00
1.000000000000000000e+00,1.127636749973889019e-01,-9.794838661482030417e+00
1.000000000000000000e+00,1.175629020444324130e-01,-9.794838448057411995e+00
1.000000000000000000e+00,1.224621290846551469e-01,-9.794838225671188781e+00
1.000000000000000000e+00,1.274613561177731225e-01,-9.794837994141722959e+00
1.000000000000000000e+00,1.325605831434967796e-01,-9.794837753287685800e+00
1.000000000000000000e+00,1.377598101615309101e-01,-9.794837502928112727e+00
1.000000000000000000e+00,1.430590371715747544e-01,-9.794837242882389106e+00
1.000000000000000000e+00,1.484582641733220854e-01,-9.794836972970303535e+00
1.000000000000000000e+00,1.539574911664610135e-01,-9.794836693012047846e+00
1.000000000000000000e+00,1.595567181506741816e-01,-9.794836402828254407e+00
1.000000000000000000e+00,1.652559451256388201e-01,-9.794836102240010334e+00
1.000000000000000000e+00,1.710551720910267470e-01,-9.794835791068885911e+00
1.000000000000000000e+00,1.769543990465042849e-01,-9.794835469136973671e+00
1.000000000000000000e+00,1.829536259917323993e-01,-9.794835136266893727e+00
1.000000000000000000e+00,1.890528529263666713e-01,-9.794834792281832847e+00
1.000000000000000000e+00,1.952520798500574917e-01,-9.794834437005581762e+00
1.000000000000000000e+00,2.015513067624498944e-01,-9.794834070262536940e+00
1.000000000000000000e+00,2.079505336631837509e-01,-9.794833691877771642e+00
1.000000000000000000e+00,2.144497605518936867e-01,-9.794833301677035919e+00
1.000000000000000000e+00,2.210489874282092482e-01,-9.794832899486797473e+00
1.000000000000000000e+00,2.277482142917548191e-01,-9.794832485134286060e+00
1.000000000000000000e+00,2.345474411421496763e-01,-9.794832058447513035e+00
1.000000000000000000e+00,2.414466679790084058e-01,-9.794831619255315758e+00
1.000000000000000000e+00,2.484458948019403757e-01,-9.794831167387394899e+00
1.000000000000000000e+00,2.555451216105500412e-01,-9.794830702674351741e+00
1.000000000000000000e+00,2.627443484044372779e-01,-9.794830224947718378e+00
1.000000000000000000e+00,2.700435751831969933e-01,-9.794829734040019886e+00
1.000000000000000000e+00,2.774428019464193484e-01,-9.794829229784783209e+00
1.000000000000000000e+00,2.849420286936900637e-01,-9.794828712016608208e+00
1.000000000000000000e+00,2.925412554245902519e-01,-9.794828180571208520e+00
1.000000000000000000e+00,3.002404821386962519e-01,-9.794827635285425771e+00
1.000000000000000000e+00,3.080397088355802948e-01,-9.794827075997316612e+00
1.000000000000000000e+00,3.159389355148102818e-01,-9.794826502546168712e+00
1.000000000000000000e+00,3.239381621759495622e-01,-9.794825914772570030e+00
1.000000000000000000e+00,3.320373888185573774e-01,-9.794825312518442573e+00
1.000000000000000000e+00,3.402366154421892497e-01,-9.794824695627099231e+00
1.000000000000000000e+00,3.485358420463960938e-01,-9.794824063943297077e+00
1.000000000000000000e+00,3.569350686307252163e-01,-9.794823417313288871e+00
1.000000000000000000e+00,3.654342951947202045e-01,-9.794822755584872809e+00
1.000000000000000000e+00,3.740335217379207600e-01,-9.794822078607452909e+00
1.000000000000000000e+00,3.827327482598629760e-01,-9.794821386232088756e+00
1.000000000000000000e+00,3.915319747600793931e-01,-9.794820678311568329e+00
1.000000000000000000e+00,4.004312012380992214e-01,-9.794819954700454190e+00
1.000000000000000000e+00,4.094304276934484510e-01,-9.794819215255134992e+00
1.000000000000000000e+00,4.185296541256495750e-01,-9.794818459833914304e+00
1.000000000000000000e+00,4.277288805342224776e-01,-9.794817688297044356e+00
1.000000000000000000e+00,4.370281069186837675e-01,-9.794816900506807755e+00
1.000000000000000000e+00,4.464273332785473336e-01,-9.794816096327584987e+00
1.000000000000000000e+00,4.559265596133244558e-01,-9.794815275625897044e+00
1.000000000000000000e+00,4.655257859225239714e-01,-9.794814438270506685e+00
1.000000000000000000e+00,4.752250122056519976e-01,-9.794813584132462836e+00
1.000000000000000000e+00,4.850242384622127090e-01,-9.794812713085175204e+00
1.000000000000000000e+00,4.949234646917081148e-01,-9.794811825004501316e+00
1.000000000000000000e+00,5.049226908936380598e-01,-9.794810919768798030e+00
1.000000000000000000e+00,5.150219170675010005e-01,-9.794809997259006806e+00
1.000000000000000000e+00,5.252211432127935620e-01,-9.794809057358728310e+00
1.000000000000000000e+00,5.355203693290109257e-01,-9.794808099954305902e+00
1.000000000000000000e+00,5.459195954156468300e-01,-9.794807124934884257e+00
1.000000000000000000e+00,5.564188214721941250e-01,-9.794806132192512393e+00
1.000000000000000000e+00,5.670180474981446617e-01,-9.794805121622207622e+00
1.000000000000000000e+00,5.777172734929895137e-01,-9.794804093122044364e+00
1.000000000000000000e+00,5.885164994562195329e-01,-9.794803046593234086e+00
1.000000000000000000e+00,5.994157253873246827e-01,-9.794801981940215896e+00
1.000000000000000000e+00,6.104149512857951487e-01,-9.794800899070740030e+00
1.000000000000000000e+00,6.215141771511211166e-01,-9.794799797895946014e+00
1.000000000000000000e+00,6.327134029827932160e-01,-9.794798678330458586e+00
1.000000000000000000e+00,6.440126287803017435e-01,-9.794797540292492499e+00
1.000000000000000000e+00,6.554118545431393272e-01,-9.794796383703905818e+00
1.000000000000000000e+00,6.661806190615040535e-01,-9.794795208490331362e+00
1.000000000000000000e+00,6.761943295828803935e-01,-9.794794015440585255e+00
1.000000000000000000e+00,6.855140337677871898e-01,-9.794792805493747423e+00
1.000000000000000000e+00,6.941956437711290784e-01,-9.794791579520788716e+00
1.000000000000000000e+00,7.022903640250716117e-01,-9.794790338330065183e+00
1.000000000000000000e+00,7.098450840964247721e-01,-9.794789082672410885e+00
1.000000000000000000e+00,7.169027393909260804e-01,-9.794787813245791952e+00
1.000000000000000000e+00,7.235026422655214118e-01,-9.794786530699617799e+00
1.000000000000000000e+00,7.296807859135786556e-01,-9.794785235638668652e+00
1.000000000000000000e+00,7.354701232059077665e-01,-9.794783928626731750e+00
1.000000000000000000e+00,7.409008225016602278e-01,-9.794782610189932015e+00
1.000000000000000000e+00,7.460005022866973423e-01,-9.794781280819792713e+00
1.000000000000000000e+00,7.507944463521002421e-01,-9.794779940976034993e+00
1.000000000000000000e+00,7.553058010913095144e-01,-9.794778591089169595e+00
1.000000000000000000e+00,7.595557563702404202e-01,-9.794777231562843411e+00
1.000000000000000000e+00,7.635637113098839857e-01,-9.794775862776024411e+00
1.000000000000000000e+00,7.673474262147728098e-01,-9.794774485084978721e+00
1.000000000000000000e+00,7.709231617826077798e-01,-9.794773098825100277e+00
1.000000000000000000e+00,7.743058066397593420e-01,-9.794771704312582372e+00
1.000000000000000000e+00,7.775089941637334245e-01,-9.794770301845938221e+00
1.000000000000000000e+00,7.805452094765173987e-01,-9.794768891707416714e+00
1.000000000000000000e+00,7.834258874215265234e-01,-9.794767474164272514e+00
1.000000000000000000e+00,7.861615022712260537e-01,-9.794766049469959768e+00
1.000000000000000000e+00,7.887616498519858244e-01,-9.794764617865194367e+00
1.000000000000000000e+00,7.912351227169579504e-01,-9.794763179578941603e+00
1.000000000000000000e+00,7.935899789463962684e-01,-9.794761734829322108e+00
1.000000000000000000e+00,7.958336051075330930e-01,-9.794760283824448521e+00
1.000000000000000000e+00,7.979727738625654876e-01,-9.794758826763155568e+00
1.000000000000000000e+00,8.000136966732328547e-01,-9.794757363835708830e+00
1.000000000000000000e+00,8.019620720135762770e-01,-9.794755895224440678e+00
1.000000000000000000e+00,8.038231294685543871e-01,-9.794754421104309827e+00
1.000000000000000000e+00,8.056016700649922813e-01,-9.794752941643462663e+00
1.000000000000000000e+00,8.073021031526583791e-01,-9.794751457003675554e+00
1.000000000000000000e+00,8.089284801269138736e-01,-9.794749967340834473e+00
1.000000000000000000e+00,8.104845252601460270e-01,-9.794748472805331119e+00
1.000000000000000000e+00,8.119736638869586853e-01,-9.794746973542409307e+00
1.000000000000000000e+00,8.133990481676471873e-01,-9.794745469692541562e+00
1.000000000000000000e+00,8.147635806357229615e-01,-9.794743961391716880e+00
1.000000000000000000e+00,8.160699357180268843e-01,-9.794742448771724952e+00
1.000000000000000000e+00,8.173205794001537905e-01,-9.794740931960426167e+00
1.000000000000000000e+00,8.185177871953994710e-01,-9.794739411081982539e+00
1.000000000000000000e+00,8.196636605621361316e-01,-9.794737886257081527e+00
1.000000000000000000e+00,8.207601419022960698e-01,-9.794736357603122556e+00
1.000000000000000000e+00,8.218090282624509468e-01,-9.794734825234417741e+00
1.000000000000000000e+00,8.228119838487063520e-01,-9.794733289262346432e+00
1.000000000000000000e+00,8.237705514572014609e-01,-9.794731749795520415e+00
1.000000000000000000e+00,8.246861629133890315e-01,-9.794730206939902928e+00
1.000000000000000000e+00,8.255601486053451010e-01,-9.794728660798968534e+00
1.000000000000000000e+00,8.263937461891169844e-01,-9.794727111473795489e+00
1.000000000000000000e+00,8.271881085374781506e-01,-9.794725559063197196e+00
1.000000000000000000e+00,8.279443109973626536e-01,-9.794724003663800360e+00
1.000000000000000000e+00,8.286633580156976819e-01,-9.794722445370151576e+00
1.000000000000000000e+00,8.293461891882286663e-01,-9.794720884274809691e+00
1.000000000000000000e+00,8.299936847812783292e-01,-9.794719320468391999e+00
