ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000004058188097e+01,1.200000000000611067e+02,0.000000000000000000e+00,9.999962187523829538e-02,2.749996533855477072e-04,0.000000000000000000e+00
3.200000017134299668e+01,1.200000000010204104e+02,0.000000000000000000e+00,1.999889751012918493e-01,2.099961412712713412e-03,0.000000000000000000e+00
3.200000039225844262e+01,1.200000000052324367e+02,0.000000000000000000e+00,2.999189192775320034e-01,6.974371613078113492e-03,0.000000000000000000e+00
3.200000070323075363e+01,1.200000000166375997e+02,0.000000000000000000e+00,3.996638470933779885e-01,1.639540565283856277e-02,0.000000000000000000e+00
3.200000110400576148e+01,1.200000000407581950e+02,0.000000000000000000e+00,4.989843284243061228e-01,3.185341405476721510e-02,0.000000000000000000e+00
3.200000159405489342e+01,1.200000000846872723e+02,0.000000000000000000e+00,5.974900768752838820e-01,5.482342597437413895e-02,0.000000000000000000e+00
3.200000217242431688e+01,1.200000001570665233e+02,0.000000000000000000e+00,6.946036259505150579e-01,8.675138509786183005e-02,0.000000000000000000e+00
3.200000283755178287e+01,1.200000002680464490e+02,0.000000000000000000e+00,7.895253381767317613e-01,1.290338729827101016e-01,0.000000000000000000e+00
3.200000358705281656e+01,1.200000004292214726e+02,0.000000000000000000e+00,8.812006611419664903e-01,1.829901494697518949e-01,0.000000000000000000e+00
3.200000441747858559e+01,1.200000006535315151e+02,0.000000000000000000e+00,9.682908846070491515e-01,2.498254646486212371e-01,0.000000000000000000e+00
3.200000532404948217e+01,1.200000009551201003e+02,0.000000000000000000e+00,1.049149034413689341e+00,3.305847903168339652e-01,0.000000000000000000e+00
3.200000630037811788e+01,1.200000013491115709e+02,0.000000000000000000e+00,1.121901045010623044e+00,4.258380504418011747e-01,0.000000000000000000e+00
3.200000733875931047e+01,1.200000018497457575e+02,0.000000000000000000e+00,1.185974354445492374e+00,5.324141532656695430e-01,0.000000000000000000e+00
3.200000843157589259e+01,1.200000024669037657e+02,0.000000000000000000e+00,1.241888472700745538e+00,6.463072190321043076e-01,0.000000000000000000e+00
3.200000957165500637e+01,1.200000032071660456e+02,0.000000000000000000e+00,1.290085998214112184e+00,7.652960977372751383e-01,0.000000000000000000e+00
3.200001075219944369e+01,1.200000040752193371e+02,0.000000000000000000e+00,1.330961132804818980e+00,8.879991345507700640e-01,0.000000000000000000e+00
3.200001196676200266e+01,1.200000050745020559e+02,0.000000000000000000e+00,1.364899798931247910e+00,1.013434032819819697e+00,0.000000000000000000e+00
3.200001320924686610e+01,1.200000062075264253e+02,0.000000000000000000e+00,1.392297855654796912e+00,1.140835957155567071e+00,0.000000000000000000e+00
3.200001447392084231e+01,1.200000074760663153e+02,0.000000000000000000e+00,1.413564912925477479e+00,1.269580338909670258e+00,0.000000000000000000e+00
3.200001575542474797e+01,1.200000088812867602e+02,0.000000000000000000e+00,1.429120910697340152e+00,1.399147391309296662e+00,0.000000000000000000e+00
3.200001704878028619e+01,1.200000104238448131e+02,0.000000000000000000e+00,1.439390038848764375e+00,1.529103108381821619e+00,0.000000000000000000e+00
3.200001834939132550e+01,1.200000121039741003e+02,0.000000000000000000e+00,1.444794367675510172e+00,1.659086867868319048e+00,0.000000000000000000e+00
3.200001965303958684e+01,1.200000139215577235e+02,0.000000000000000000e+00,1.445748218975259958e+00,1.788801858040694359e+00,0.000000000000000000e+00
3.200002095587574757e+01,1.200000158761918954e+02,0.000000000000000000e+00,1.442653615042312376e+00,1.918006920478993793e+00,0.000000000000000000e+00
3.200002225440685066e+01,1.200000179672412628e+02,0.000000000000000000e+00,1.435896823647972997e+00,2.046509299230671708e+00,0.000000000000000000e+00
3.200002354548104933e+01,1.200000201938869111e+02,0.000000000000000000e+00,1.425845888053428823e+00,2.174158113735307651e+00,0.000000000000000000e+00
3.200002482627044742e+01,1.200000225551679875e+02,0.000000000000000000e+00,1.412848991293103040e+00,2.300838483640689436e+00,0.000000000000000000e+00
3.200002609425273903e+01,1.200000250500170154e+02,0.000000000000000000e+00,1.397233502966158225e+00,2.426466265619374063e+00,0.000000000000000000e+00
3.200002734719222985e+01,1.200000276772903334e+02,0.000000000000000000e+00,1.379305570946987025e+00,2.550983367635803134e+00,0.000000000000000000e+00
3.200002858312073784e+01,1.200000304357935477e+02,0.000000000000000000e+00,1.359350139218602482e+00,2.674353603958580461e+00,0.000000000000000000e+00
3.200002980031850086e+01,1.200000333243030184e+02,0.000000000000000000e+00,1.337631291971822289e+00,2.796559051180156352e+00,0.000000000000000000e+00
3.200003099729568845e+01,1.200000363415834812e+02,0.000000000000000000e+00,1.314392841453871474e+00,2.917596863573626464e+00,0.000000000000000000e+00
3.200003217277431844e+01,1.200000394864028266e+02,0.000000000000000000e+00,1.289859092240386529e+00,3.037476505615250399e+00,0.000000000000000000e+00
3.200003332567109737e+01,1.200000427575438522e+02,0.000000000000000000e+00,1.264235727597289527e+00,3.156217360237782987e+00,0.000000000000000000e+00
3.200003445508095723e+01,1.200000461538137557e+02,0.000000000000000000e+00,1.237710774547892356e+00,3.273846673038895094e+00,0.000000000000000000e+00
3.200003556026157980e+01,1.200000496740516525e+02,0.000000000000000000e+00,1.210455613390677643e+00,3.390397794951318211e+00,0.000000000000000000e+00
3.200003664061878794e+01,1.200000533171342170e+02,0.000000000000000000e+00,1.182626004962177957e+00,3.505908688540952500e+00,0.000000000000000000e+00
3.200003769569287471e+01,1.200000570819801027e+02,0.000000000000000000e+00,1.154363115134285467e+00,3.620420665947147398e+00,0.000000000000000000e+00
3.200003872514582071e+01,1.200000609675527414e+02,0.000000000000000000e+00,1.125794521082523980e+00,3.733977329376849230e+00,0.000000000000000000e+00
3.200003972874952041e+01,1.200000649728624893e+02,0.000000000000000000e+00,1.097035187944248591e+00,3.846623687912790857e+00,0.000000000000000000e+00
3.200004069559999209e+01,1.200000690510546235e+02,0.000000000000000000e+00,1.042135031963700387e+00,3.861858953296196884e+00,0.000000000000000000e+00
3.200004161401118807e+01,1.200000731446395861e+02,0.000000000000000000e+00,9.898539954498848381e-01,3.875588867216423594e+00,0.000000000000000000e+00
3.200004248630200721e+01,1.200000772520956644e+02,0.000000000000000000e+00,9.400861737086015912e-01,3.887960646148814092e+00,0.000000000000000000e+00
3.200004331469638430e+01,1.200000813720501185e+02,0.000000000000000000e+00,8.927269918727355202e-01,3.899107400159918413e+00,0.000000000000000000e+00
3.200004410132462596e+01,1.200000855032649127e+02,0.000000000000000000e+00,8.476737251788651895e-01,3.909149428666211623e+00,0.000000000000000000e+00
3.200004484822530770e+01,1.200000896446236425e+02,0.000000000000000000e+00,8.048259090110788661e-01,3.918195408116403655e+00,0.000000000000000000e+00
3.200004555734741274e+01,1.200000937951198381e+02,0.000000000000000000e+00,7.640856560176479961e-01,3.926343478386482566e+00,0.000000000000000000e+00
3.200004623055280462e+01,1.200000979538462360e+02,0.000000000000000000e+00,7.253578951431889354e-01,3.933682234745636386e+00,0.000000000000000000e+00
3.200004686961877098e+01,1.200001021199851152e+02,0.000000000000000000e+00,6.885505452834769224e-01,3.940291632175188408e+00,0.000000000000000000e+00
3.200004747624085155e+01,1.200001062927996571e+02,0.000000000000000000e+00,6.535746344223981596e-01,3.946243808641276996e+00,0.000000000000000000e+00
3.200004805203563052e+01,1.200001104716259022e+02,0.000000000000000000e+00,6.203443735151116245e-01,3.951603833666543775e+00,0.000000000000000000e+00
3.200004859854360717e+01,1.200001146558656444e+02,0.000000000000000000e+00,5.887771930062004611e-01,3.956430388240860019e+00,0.000000000000000000e+00
3.200004911723213752e+01,1.200001188449800225e+02,0.000000000000000000e+00,5.587937486881654481e-01,3.960776381775044097e+00,0.000000000000000000e+00
3.200004960949834754e+01,1.200001230384836077e+02,0.000000000000000000e+00,5.303179025886366471e-01,3.964689511449032810e+00,0.000000000000000000e+00
3.200005007667196821e+01,1.200001272359391606e+02,0.000000000000000000e+00,5.032766837021437345e-01,3.968212768947974922e+00,0.000000000000000000e+00
3.200005052001819905e+01,1.200001314369528984e+02,0.000000000000000000e+00,4.776002326346361904e-01,3.971384899224365661e+00,0.000000000000000000e+00
3.200005094074046497e+01,1.200001356411701749e+02,0.000000000000000000e+00,4.532217335891495780e-01,3.974240815577539720e+00,0.000000000000000000e+00
3.200005133998317319e+01,1.200001398482716013e+02,0.000000000000000000e+00,4.300773365742147636e-01,3.976811975007771505e+00,0.000000000000000000e+00
3.200005171883429256e+01,1.200001440579695782e+02,0.000000000000000000e+00,4.081060722499332827e-01,3.979126717483713715e+00,0.000000000000000000e+00
3.200005207832797538e+01,1.200001482700051696e+02,0.000000000000000000e+00,3.872497614287844780e-01,3.981210572460760044e+00,0.000000000000000000e+00
3.200005241944698753e+01,1.200001524841451612e+02,0.000000000000000000e+00,3.674529209095842019e-01,3.983086535705067543e+00,0.000000000000000000e+00
3.200005274312513848e+01,1.200001567001795877e+02,0.000000000000000000e+00,3.486626670350593260e-01,3.984775319213867739e+00,0.000000000000000000e+00
3.200005305024956215e+01,1.200001609179194730e+02,0.000000000000000000e+00,3.308286181190997488e-01,3.986295576777189709e+00,0.000000000000000000e+00
3.200005334166293380e+01,1.200001651371945286e+02,0.000000000000000000e+00,3.139027966825566063e-01,3.987664107498881449e+00,0.000000000000000000e+00
3.200005361816560168e+01,1.200001693578516040e+02,0.000000000000000000e+00,2.978395322611038232e-01,3.988896039385141812e+00,0.000000000000000000e+00
3.200005388051764754e+01,1.200001735797527402e+02,0.000000000000000000e+00,2.825953654006562177e-01,3.990004994915927750e+00,0.000000000000000000e+00
3.200005412944081939e+01,1.200001778027737060e+02,0.000000000000000000e+00,2.681289533308784390e-01,3.991003240337656077e+00,0.000000000000000000e+00
3.200005436562041439e+01,1.200001820268027615e+02,0.000000000000000000e+00,2.544009777023770180e-01,3.991901820253606292e+00,0.000000000000000000e+00
3.200005458970704098e+01,1.200001862517391800e+02,0.000000000000000000e+00,2.413740546849807711e-01,3.992710678940425417e+00,0.000000000000000000e+00
3.200005480231838106e+01,1.200001904774924526e+02,0.000000000000000000e+00,2.290126476507973463e-01,3.993438769684086953e+00,0.000000000000000000e+00
3.200005500404078163e+01,1.200001947039809380e+02,0.000000000000000000e+00,2.172829826042045054e-01,3.994094153305678407e+00,0.000000000000000000e+00
3.200005519543079657e+01,1.200001989311312371e+02,0.000000000000000000e+00,2.061529664698201758e-01,3.994684086935495593e+00,0.000000000000000000e+00
3.200005537701672864e+01,1.200002031588772553e+02,0.000000000000000000e+00,1.955921083071890665e-01,3.995215103992265870e+00,0.000000000000000000e+00
3.200005554929997231e+01,1.200002073871595343e+02,0.000000000000000000e+00,1.855714434861042428e-01,3.995693086232032787e+00,0.000000000000000000e+00
3.200005571275642779e+01,1.200002116159244565e+02,0.000000000000000000e+00,1.760634608279603719e-01,3.996123328647561035e+00,0.000000000000000000e+00
3.200005586783774447e+01,1.200002158451238330e+02,0.000000000000000000e+00,1.670420326954044354e-01,3.996510597923264463e+00,0.000000000000000000e+00
