ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.543207813446885412e-03,0.000000000000000000e+00,2.842648555953430356e-01
3.543207808996126206e-03,-2.673424424822243549e-07,5.707437531579505618e-01
3.543207773420449687e-03,-7.118452737687193683e-07,8.572226507092863823e-01
3.543207653506490716e-03,-1.333508483595055029e-06,1.143701548240938282e+00
3.543207369466827832e-03,-2.132332039905898953e-06,1.430180445744494655e+00
3.543206814940003200e-03,-3.108315868891853189e-06,1.716659343211542899e+00
3.543205856990536921e-03,-4.261459828382779432e-06,2.003138240633671519e+00
3.543204336108991218e-03,-5.591763674597633967e-06,2.289617138002467467e+00
3.543202066212046333e-03,-7.099227022250827334e-06,2.576096035309519916e+00
3.543198834642642767e-03,-8.783849298015167367e-06,2.862574932546416928e+00
3.543194402170190323e-03,-1.064562968734141864e-05,3.149053829704745677e+00
3.543188502990835681e-03,-1.268456707463458550e-05,3.435532726776096002e+00
3.543180844727878732e-03,-1.490065997678706385e-05,3.722011623752054632e+00
3.543171108432280857e-03,-1.729390647006881179e-05,4.008490520624212294e+00
3.543158948583344930e-03,-1.986430411037481674e-05,4.294969417384155719e+00
3.543143993089571848e-03,-2.261184984683006248e-05,4.581448314023474744e+00
3.543125843289739955e-03,-2.553653992875261100e-05,4.867927210533760096e+00
3.543104073954213458e-03,-2.863836980597492788e-05,5.154406106906599838e+00
3.543078233286544882e-03,-3.191733402252444228e-05,5.440885003133585585e+00
3.543047842925390201e-03,-3.537342610366376840e-05,5.727363899206308062e+00
3.543012397946777858e-03,-3.900663843629159139e-05,6.013842795116357998e+00
3.542971366866781106e-03,-4.281696214270520011e-05,6.300321690855331447e+00
3.542924191644628799e-03,-4.680438694772584931e-05,6.586800586414819136e+00
3.542870287686317090e-03,-5.096890103918849625e-05,6.873279481786418010e+00
3.542809043848735902e-03,-5.531049092179727027e-05,7.159758376961722348e+00
3.542739822444417735e-03,-5.982914126434888449e-05,7.446237271932332646e+00
3.542661959246897526e-03,-6.452483474032576498e-05,7.732716166689848514e+00
3.542574763496793722e-03,-6.939755186186160111e-05,8.019195061225870447e+00
3.542477517908635722e-03,-7.444727080708200048e-05,8.305673955532004271e+00
3.542369478678507062e-03,-7.967396724082307421e-05,8.592152849599855813e+00
3.542249875492579827e-03,-8.507761412873184883e-05,8.878631743421033562e+00
3.542117911536581901e-03,-9.065818154475202171e-05,9.165110636987151338e+00
3.541972763506283373e-03,-9.641563647199922745e-05,9.451589530289822960e+00
3.541813581619061499e-03,-1.023499425970310464e-04,9.738068423320672906e+00
3.541639489626623605e-03,-1.084610600975163499e-04,1.002454731607132210e+01
3.541449584828956863e-03,-1.147489454233102972e-04,1.031102620853339857e+01
3.541242938089575638e-03,-1.212135510709405818e-04,1.059750510069853746e+01
3.541018593852174844e-03,-1.278548253515128551e-04,1.088398399255837745e+01
3.540775570158713557e-03,-1.346727121520411284e-04,1.117046288410456434e+01
3.540512858669078548e-03,-1.416671506902135327e-04,1.145694177532874747e+01
3.540229424682367169e-03,-1.488380752626003380e-04,1.174342066622258862e+01
3.539924207159891520e-03,-1.561854149863146630e-04,1.202989955677775136e+01
3.539596118750003208e-03,-1.637090935341364373e-04,1.231637844698590811e+01
3.539244045814812431e-03,-1.714090288631101966e-04,1.260285733683874732e+01
3.538866848458914558e-03,-1.792851329366292360e-04,1.288933622632795561e+01
3.538463360560214002e-03,-1.873373114400190501e-04,1.317581511544523742e+01
3.538032389802936439e-03,-1.955654634896332315e-04,1.346229400418230782e+01
3.537572717712947779e-03,-2.039694813354778213e-04,1.374877289253088719e+01
3.537083099695463584e-03,-2.125492500573787755e-04,1.403525178048271371e+01
3.536562265075279474e-03,-2.213046472547109767e-04,1.432173066802953798e+01
3.536008917139605787e-03,-2.302355427297053008e-04,1.460820955516312480e+01
3.535421733183632693e-03,-2.393417981643543367e-04,1.489468844187524965e+01
3.534799364558937219e-03,-2.486232667909361936e-04,1.518116732815770753e+01
3.534140436724831930e-03,-2.580797930561793004e-04,1.546764621400231121e+01
3.533443549302799254e-03,-2.677112122790903143e-04,1.575412509940088945e+01
3.532707276134103378e-03,-2.775173503024701022e-04,1.604060398434528878e+01
3.531930165340719380e-03,-2.874980231381437626e-04,1.632708286882737170e+01
3.531110739389690598e-03,-2.976530366059317099e-04,1.661356175283902914e+01
3.530247495161053465e-03,-3.079821859663914763e-04,1.690004063637217513e+01
3.529338904019440823e-03,-3.184852555473595566e-04,1.718651951941873790e+01
3.528383411889508998e-03,-3.291620183643271798e-04,1.747299840197068121e+01
3.527379439335304005e-03,-3.400122357346820967e-04,1.775947728401997594e+01
3.526325381643725596e-03,-3.510356568858539550e-04,1.804595616555864268e+01
