ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.252786307117881393e+01,-3.599498736819171096e+00,3.768088012852683732e+01
3.252768305558222295e+01,-3.601125125472679045e+00,3.768088012852683732e+01
3.252732278043185943e+01,-3.604377875767190265e+00,3.768088012852683732e+01
3.252678175782013881e+01,-3.609256933616707741e+00,3.768088012852683732e+01
3.252605925590259517e+01,-3.615762217739764139e+00,3.768088012852683732e+01
3.252515429891823118e+01,-3.623893619476467265e+00,3.768088012852683732e+01
3.252406566721676029e+01,-3.633651002544568076e+00,3.768088012852683732e+01
3.252279189729284070e+01,-3.645034202734561024e+00,3.768088012852683732e+01
3.252133128182730104e+01,-3.658043027543835812e+00,3.768088012852683732e+01
3.251968186973572728e+01,-3.672677255749890346e+00,3.768088012852683732e+01
3.251784146622421900e+01,-3.688936636922617307e+00,3.768088012852683732e+01
3.251580763285280540e+01,-3.706820890875695884e+00,3.768088012852683732e+01
3.251357768760652078e+01,-3.726329707057097984e+00,3.768088012852683732e+01
3.251114870497445253e+01,-3.747462743878745783e+00,3.768088012852683732e+01
3.250851751603685358e+01,-3.770219627985339272e+00,3.768088012852683732e+01
3.250568070856083835e+01,-3.794599953462391095e+00,3.768088012852683732e+01
3.250263462710460516e+01,-3.820603280983501548e+00,3.768088012852683732e+01
3.249937537313076774e+01,-3.848229136896908376e+00,3.768088012852683732e+01
3.249589880512898787e+01,-3.877477012251356658e+00,3.768088012852683732e+01
3.249220053874818603e+01,-3.908346361761330545e+00,3.768088012852683732e+01
3.248827594693890575e+01,-3.940836602711694336e+00,3.768088012852683732e+01
3.248412016010591685e+01,-3.974947113801796217e+00,3.768088012852683732e+01
3.247972806627180375e+01,-4.010677233929091479e+00,3.768088012852683732e+01
3.247509431125158841e+01,-4.048026260912341634e+00,3.768088012852683732e+01
3.247021329883922647e+01,-4.086993450154458252e+00,3.768088012852683732e+01
3.246507919100609740e+01,-4.127578013245060795e+00,3.768088012852683732e+01
3.245968590811221333e+01,-4.169779116502809302e+00,3.768088012852683732e+01
3.245402712913050891e+01,-4.213595879457619375e+00,3.768088012852683732e+01
3.244809629188489453e+01,-4.259027373272807893e+00,3.768088012852683732e+01
3.244188659330242785e+01,-4.306072619107288446e+00,3.768088012852683732e+01
3.243539098968035717e+01,-4.354730586417894678e+00,3.768088012852683732e+01
3.242860219696853363e+01,-4.405000191201941639e+00,3.768088012852683732e+01
3.242151269106779665e+01,-4.456880294180126434e+00,3.768088012852683732e+01
3.241411470814507112e+01,-4.510369698919886261e+00,3.768088012852683732e+01
3.240640024496567406e+01,-4.565467149899333776e+00,3.768088012852683732e+01
3.239836105924364773e+01,-4.622171330511896770e+00,3.768088012852683732e+01
3.238998867001073023e+01,-4.680480861011800719e+00,3.768088012852683732e+01
3.238127435800473108e+01,-4.740394296400527452e+00,3.768088012852683732e+01
3.237220916607799381e+01,-4.801910124254417767e+00,3.768088012852683732e+01
3.236278389962678403e+01,-4.865026762493566359e+00,3.768088012852683732e+01
3.235298912704227803e+01,-4.929742557092168909e+00,3.768088012852683732e+01
3.234281518018402579e+01,-4.996055779730520285e+00,3.768088012852683732e+01
3.233225215487674120e+01,-5.063964625388837071e+00,3.768088012852683732e+01
3.232128991143107299e+01,-5.133467209883094462e+00,3.768088012852683732e+01
3.230991807518948633e+01,-5.204561567343103157e+00,3.768088012852683732e+01
3.229812603709787311e+01,-5.277245647633025172e+00,3.768088012852683732e+01
3.228590295430398527e+01,-5.351517313714567514e+00,3.768088012852683732e+01
3.227323775078346557e+01,-5.427374338953083743e+00,3.768088012852683732e+01
3.226011911799453458e+01,-5.504814404366851655e+00,3.768088012852683732e+01
3.224653551556217224e+01,-5.583835095819771333e+00,3.768088012852683732e+01
3.223247517199285284e+01,-5.664433901157763351e+00,3.768088012852683732e+01
3.221792608542079250e+01,-5.746608207289172654e+00,3.768088012852683732e+01
3.220287602438674668e+01,-5.830355297209455223e+00,3.768088012852683732e+01
3.218731252865032388e+01,-5.915672346970484163e+00,3.768088012852683732e+01
3.217122291003696688e+01,-6.002556422594794938e+00,3.768088012852683732e+01
3.215459425332058885e+01,-6.091004476935118817e+00,3.768088012852683732e+01
3.213741341714299438e+01,-6.181013346479570458e+00,3.768088012852683732e+01
3.211966703497113684e+01,-6.272579748102849351e+00,3.768088012852683732e+01
3.210134151609339170e+01,-6.365700275763871652e+00,3.768088012852683732e+01
3.208242304665600386e+01,-6.460371397150223238e+00,3.768088012852683732e+01
3.206289759074078205e+01,-6.556589450269869168e+00,3.768088012852683732e+01
3.204275089148524103e+01,-6.654350639990565419e+00,3.768088012852683732e+01
3.202196847224648479e+01,-6.753651034527427655e+00,3.768088012852683732e+01
3.200053563780986821e+01,-6.854486561879157946e+00,3.768088012852683732e+01
3.197843747564381900e+01,-6.956853006213398416e+00,3.768088012852683732e+01
3.195565885720195709e+01,-7.060746004201770454e+00,3.768088012852683732e+01
3.193218443927382921e+01,-7.166161041305119106e+00,3.768088012852683732e+01
3.190799866538549168e+01,-7.273093448009520401e+00,3.768088012852683732e+01
3.188308576725122023e+01,-7.381538396013656467e+00,3.768088012852683732e+01
3.185742976627776102e+01,-7.491490894368149966e+00,3.768088012852683732e+01
3.183101447512225946e+01,-7.602945785567491122e+00,3.768088012852683732e+01
3.180382349930535213e+01,-7.715897741595210135e+00,3.768088012852683732e+01
3.177584023888069353e+01,-7.830341259922972696e+00,3.768088012852683732e+01
3.174704789016229256e+01,-7.946270659464289565e+00,3.768088012852683732e+01
3.171742944751107629e+01,-8.063680076483594306e+00,3.768088012852683732e+01
3.168696770518194228e+01,-8.182563460461391713e+00,3.768088012852683732e+01
3.165564525923286965e+01,-8.302914569916316267e+00,3.768088012852683732e+01
3.162344450949738217e+01,-8.424726968184847564e+00,3.768088012852683732e+01
3.159034766162179508e+01,-8.547994019159558476e+00,3.768088012852683732e+01
3.155633672916874843e+01,-8.672708882986716716e+00,3.768088012852683732e+01
3.152139353578838410e+01,-8.798864511724179494e+00,3.768088012852683732e+01
3.148549971745872966e+01,-8.926453644960449907e+00,3.768088012852683732e+01
3.144863672479656813e+01,-9.055468805395861409e+00,3.768088012852683732e+01
3.141078582544058051e+01,-9.185902294386886879e+00,3.768088012852683732e+01
3.137192810650785546e+01,-9.317746187454558182e+00,3.768088012852683732e+01
3.133204447712558505e+01,-9.450992329758044264e+00,3.768088012852683732e+01
3.129111567103931790e+01,-9.585632331534466033e+00,3.768088012852683732e+01
3.124912224929920512e+01,-9.721657563506058253e+00,3.768088012852683732e+01
3.120604460302590866e+01,-9.859059152255808200e+00,3.768088012852683732e+01
3.116186295625754354e+01,-9.997827975572757708e+00,3.768088012852683732e+01
3.111655736887931667e+01,-1.013795465776817117e+01,3.768088012852683732e+01
3.107010773963729022e+01,-1.027942956496382010e+01,3.768088012852683732e+01
3.102249380923779754e+01,-1.042224280035365958e+01,3.768088012852683732e+01
3.097369516353418817e+01,-1.056638419944023255e+01,3.768088012852683732e+01
3.092369123680224163e+01,-1.071184332524712879e+01,3.768088012852683732e+01
3.087246131510598701e+01,-1.085860946350893030e+01,3.768088012852683732e+01
3.081998453975529983e+01,-1.100667161784004477e+01,3.768088012852683732e+01
3.076623991085698506e+01,-1.115601850488390490e+01,3.768088012852683732e+01
3.071120629096073529e+01,-1.130663854944408619e+01,3.768088012852683732e+01
3.065486240880163749e+01,-1.145851987959881590e+01,3.768088012852683732e+01
3.059718686314070624e+01,-1.161165032180055867e+01,3.768088012852683732e+01
3.053815812670493912e+01,-1.176601739596224938e+01,3.768088012852683732e+01
3.047775455022857116e+01,-1.192160831053188552e+01,3.768088012852683732e+01
