ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000000090182084e+01,1.200000000000000426e+02,0.000000000000000000e+00
3.200000000270546252e+01,1.200000000000003695e+02,0.000000000000000000e+00
3.200000000541092504e+01,1.200000000000013074e+02,0.000000000000000000e+00
3.200000000901820130e+01,1.200000000000034248e+02,0.000000000000000000e+00
3.200000001352730550e+01,1.200000000000073896e+02,0.000000000000000000e+00
3.200000001893822343e+01,1.200000000000140687e+02,0.000000000000000000e+00
3.200000002525096221e+01,1.200000000000244427e+02,0.000000000000000000e+00
3.200000003246552183e+01,1.200000000000396909e+02,0.000000000000000000e+00
3.200000004058188097e+01,1.200000000000611067e+02,0.000000000000000000e+00
3.200000004960005384e+01,1.200000000000902105e+02,0.000000000000000000e+00
3.200000005952002624e+01,1.200000000001286082e+02,0.000000000000000000e+00
3.200000007034179106e+01,1.200000000001781473e+02,0.000000000000000000e+00
3.200000008206533408e+01,1.200000000002407461e+02,0.000000000000000000e+00
3.200000009469064821e+01,1.200000000003185363e+02,0.000000000000000000e+00
3.200000010821771212e+01,1.200000000004137632e+02,0.000000000000000000e+00
3.200000012264650451e+01,1.200000000005288996e+02,0.000000000000000000e+00
3.200000013797700404e+01,1.200000000006665317e+02,0.000000000000000000e+00
3.200000015420918231e+01,1.200000000008294023e+02,0.000000000000000000e+00
3.200000017134299668e+01,1.200000000010204104e+02,0.000000000000000000e+00
3.200000018937841162e+01,1.200000000012426682e+02,0.000000000000000000e+00
3.200000020831538450e+01,1.200000000014993304e+02,0.000000000000000000e+00
3.200000022815384426e+01,1.200000000017938504e+02,0.000000000000000000e+00
3.200000024889374117e+01,1.200000000021297382e+02,0.000000000000000000e+00
3.200000027053499707e+01,1.200000000025106885e+02,0.000000000000000000e+00
3.200000029307753380e+01,1.200000000029406095e+02,0.000000000000000000e+00
3.200000031652125898e+01,1.200000000034234944e+02,0.000000000000000000e+00
3.200000034086606604e+01,1.200000000039634926e+02,0.000000000000000000e+00
3.200000036611183418e+01,1.200000000045649813e+02,0.000000000000000000e+00
3.200000039225844262e+01,1.200000000052324367e+02,0.000000000000000000e+00
