ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999987500000909e-03,4.999999997916667183e-07,0.000000000000000000e+00
1.999999977500000262e-02,2.999999988750000273e-06,0.000000000000000000e+00
2.999999865000001209e-02,8.999999865000000903e-06,0.000000000000000000e+00
3.999999500000010755e-02,1.999999916666667728e-05,0.000000000000000000e+00
4.999998593750065723e-02,3.749999648437510563e-05,0.000000000000000000e+00
5.999996692500304124e-02,6.299998842375065494e-05,0.000000000000000000e+00
6.999993140001120606e-02,9.799996798666983189e-05,0.000000000000000000e+00
7.999987040003499195e-02,1.439999222400126168e-04,0.000000000000000000e+00
8.999977218759611097e-02,2.024998291406682606e-04,0.000000000000000000e+00
9.999962187523829538e-02,2.749996533855477072e-04,0.000000000000000000e+00
1.099994010505435382e-01,3.629993411553586544e-04,0.000000000000000000e+00
1.199990874011566955e-01,4.679988136209021110e-04,0.000000000000000000e+00
1.299986543398215233e-01,5.914979590806540522e-04,0.000000000000000000e+00
1.399980706294315091e-01,7.349966235984029721e-04,0.000000000000000000e+00
1.499973000080999930e-01,8.999946000097197411e-04,0.000000000000000000e+00
1.599963008142542276e-01,1.087991615166052388e-03,0.000000000000000000e+00
1.699950256117595537e-01,1.300487315285242269e-03,0.000000000000000000e+00
1.799934208150797410e-01,1.538981249277286559e-03,0.000000000000000000e+00
1.899914263144815707e-01,1.804972849914181958e-03,0.000000000000000000e+00
1.999889751012918493e-01,2.099961412712713412e-03,0.000000000000000000e+00
2.099859928932163444e-01,2.425446072399081027e-03,0.000000000000000000e+00
2.199823977597314684e-01,2.782925776824289252e-03,0.000000000000000000e+00
2.299780997475603939e-01,3.173899258199269248e-03,0.000000000000000000e+00
2.399730005062462868e-01,3.599865001518742866e-03,0.000000000000000000e+00
2.499669929138374491e-01,4.062321210042895217e-03,0.000000000000000000e+00
2.599599607026995551e-01,4.562765767705987199e-03,0.000000000000000000e+00
2.699517780854715499e-01,5.102696198321102043e-03,0.000000000000000000e+00
2.799423093811848617e-01,5.683609621450310539e-03,0.000000000000000000e+00
2.899314086415640257e-01,6.307002704809608166e-03,0.000000000000000000e+00
2.999189192775320034e-01,6.974371613078113492e-03,0.000000000000000000e+00
3.099046736859417117e-01,7.687211952981082286e-03,0.000000000000000000e+00
3.198884928765595159e-01,8.447018714516465673e-03,0.000000000000000000e+00
3.298701860993267787e-01,9.255286208194836092e-03,0.000000000000000000e+00
3.398495504719274973e-01,1.011350799816269734e-02,0.000000000000000000e+00
3.498263706076928381e-01,1.102317683107932600e-02,0.000000000000000000e+00
